ID,albergueName,original,updated
4412,Ospitalia Refuge Municipal,14:00 a 20:30 (22:30 sábados y domingos),14:00 to 20:30 (22:30 on Saturdays and Sundays)
4413,Refuge Accueil Paroissial Kaserna,4 April a finales October,4 April to late October
4414,Gîte d'étape Beilari,15 March a finales October,15 March to late October
4415,Gîte d'étape Ultreia Vertes Montagnes et Cie,15 March - 31 October,15 March to 31 October
4416,Gîte Le Chemin vers l'Etoile,All Year (de  November a  March avisar con 15 díasantelación),All year (give 15 days' notice from November to March)
4417,Gîte Izaxulo,1 April - 31 October,1 April to 31 October
4418,Gîte Le Lièvre et La Tortue,15 March - 31 October,15 March to 31 October
4419,Gîte Compostelle,15 March - 31 October,15 March to 31 October
4420,Gîte La Coquille Napoléon,16:00 a 20:00,16:00 to 20:00
4421,Gîte La Vita è Bella,1 April - 12 October,1 April to 12 October
4422,Gîte d'étape Makila,1 March a finales October,1 March to late October
4423,Gîte d'étape Zuharpeta,1 March - 31 October,1 March to 31 October
4424,Gîte de la Porte Saint-Jacques,1 March - 31 October,1 March to 31 October
4425,Gîte Bidean,15:00 a 22:30,15:00 to 22:30
4426,Gîte Esteban Etxea,"All Year, excepto  December y  January","All year, except December and January"
4427,Gîte-Chambre d'hôtes Ferme Ithurburia,1 March a mediados November,1 March to mid-November
4428,Refuge Orisson,10 April - 31 October,10 April to 31 October
4429,Auberge Borda,1 April - 31 October,1 April to 31 October
4430,Albergue de peregrinos de Roncesvalles,All Year,All year
4449,Lorentx Aterpea - Albergue,"All Year, excepto 24/25/31 December, 1/5/6 January y fiestas patronales (finales June).","All year, except 24, 25 and 31 December; 1, 5 and 6 January; and the local patron saint festival in late June."
4450,Albergue-Camping Urrobi,1 April - 31 October,1 April to 31 October
4451,Albergue Irugoienea,Holy Week a  October,Holy Week to October
4452,Albergue-Hostal Haizea,"All Year, excepto en fiestasNavidad","All year, except during the Christmas holidays"
4453,Albergue de peregrinos de Zubiri,Holy Week - 31 October,Holy Week to 31 October
4454,Albergue-Pensión Zaldiko,1 March - 31 October,1 March to 31 October
4455,Albergue El Palo de Avellano,1 March a mediados November ,1 March to mid-November
4456,Albergue Suseia,15 March - 15 October,15 March to 15 October
4457,Albergue Río Arga Ibaia,All Year,All year
4458,Albergue Segunda Etapa,1 March - 31 October ,1 March to 31 October
4465,Albergue de peregrinos de Larrasoaña,Holy Week - 9 October,Holy Week to 9 October
4466,Albergue San Nicolás,1 March - 31 October,1 March to 31 October
4467,Albergue La Parada de Zuriain,Holy Week a mediados October,Holy Week to mid-October
4468,Albergue parroquial de Zabaldika,15 April - 15 October,15 April to 15 October
4469,Albergue de Trinidad de Arre,"All Year (en temporada baja, confirmar)",All year (confirm availability in low season)
4470,Albergue municipal de Villava,12:00 a 20:00,12:00 to 20:00
4471,Albergue Jesús y María,"All Year, excepto del 22 December - 8 January","All year, except 22 December to 8 January"
4472,Albergue diocesano Betania,1 May - 31 October,1 May to 31 October
4473,Albergue Casa Paderborn,1 March - 31 October,1 March to 31 October
4474,Albergue Casa Ibarrola,All Year (excepto del 4 - 16 July),All year (except 4 to 16 July)
4475,Albergue de Pamplona-Iruñako Aterpea,"All Year, excepto algunos días por Navidad y entre  January y  February","All year, except some days around Christmas and during January-February; confirm availability."
4476,Albergue Plaza Catedral,"All Year ( January y  February solo viernes y sábados, excepto grupos)","All year (January and February: Fridays and Saturdays only, except for groups)"
4477,Aloha Hostel,All Year,All year
4531,Albergue de peregrinos de la Orden de Malta,21 May - 15 October,21 May to 15 October
4532,Albergue San Andrés,1 May - 15 October,1 May to 15 October
4533,Albergue Camino del Perdón,"1 March - 31 October (cerrado por San Fermín, 5 días July)",1 March to 31 October; closed for five days in July during San Fermín (exact dates not recorded).
4534,Albergue Casa Baztán,"All Year (en temporada baja, con reserva)",All year (prior reservation required in low season)
4535,Albergue El Jardín de Muruzábal,1 April - 31 October,1 April to 31 October
