ID,albergueName,original,updated,reason
4412,Ospitalia Refuge Municipal,14:00 a 20:30 (22:30 sábados y domingos),14:00 to 20:30 (22:30 on Saturdays and Sundays),Contains times rather than an annual opening season; time meaning not inferred
4420,Gîte La Coquille Napoléon,16:00 a 20:00,16:00 to 20:00,Contains times rather than an annual opening season; time meaning not inferred
4425,Gîte Bidean,15:00 a 22:30,15:00 to 22:30,Contains times rather than an annual opening season; time meaning not inferred
4446,Albergue municipal de Valcarlos,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
4470,Albergue municipal de Villava,12:00 a 20:00,12:00 to 20:00,Contains times rather than an annual opening season; time meaning not inferred
4504,Hostal Casa Sabina,,,Opening period is empty
4536,Albergue Mendizabal,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
4537,Albergue Usda,,,Opening period is empty
4538,Albergue de los Padres Reparadores,12:00 (14:00 en temporada baja),12:00 (14:00 in low season),Contains times rather than an annual opening season; time meaning not inferred
4553,Albergue parroquial San Miguel,,,Opening period is empty
4564,Albergue de peregrinos Isaac Santiago,,,Opening period is empty
4706,Albergue Etxeurdina,Nota Febrero 2023: cerrado provisionalmente. [5 March - 15-30 October. Cerrado del 14 - 19 August.],February 2023 note: temporarily closed. Previously listed season: 5 March to 15-30 October (end date unclear); closed 14-19 August. Current opening status needs confirmation.,"Dated, ambiguous or invalid source data needs confirmation"
4734,Albergue Karma,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
4736,Albergue-Hotel La Pata de Oca,23:00,23:00,Contains times rather than an annual opening season; time meaning not inferred
4738,Albergue-Hostal San Andrés,12:00,12:00,Contains times rather than an annual opening season; time meaning not inferred
4740,Albergue parroquial Santa María,,,Opening period is empty
4877,Albergue de peregrinos de Logroño,13:00 (de  April a  October) / 15:00 (resto del año),13:00 (April to October) / 15:00 (rest of the year),Contains times rather than an annual opening season; time meaning not inferred
4878,Albergue parroquial Santiago El Real,12:00 (de  June a  September) / 14:00 (resto del año),12:00 (June to September) / 14:00 (rest of the year),Contains times rather than an annual opening season; time meaning not inferred
4882,Albergue Logroño Centro,14:00 a 24:00,14:00 to 24:00,Contains times rather than an annual opening season; time meaning not inferred
4895,Albergue Las Peñas,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
4896,Albergue El Peregrino,11:30 a 22:30,11:30 to 22:30,Contains times rather than an annual opening season; time meaning not inferred
4900,Albergue de la Cofradía del Santo,11:00 (13:00 en invierno),11:00 (13:00 in winter),Contains times rather than an annual opening season; time meaning not inferred
4903,Hospedería de la Abadía Cisterciense,,,Opening period is empty
4905,Albergue parroquial de Belorado,,,Opening period is empty
4911,Alojamiento El descanso de San Juan,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
4912,Albergue El Camino de Santovenia,23:00,23:00,Contains times rather than an annual opening season; time meaning not inferred
4916,Albergue El Peregrino,,,Opening period is empty
4917,Albergue La Hutte,En 2022 a partir del 1 May,2022 note: open from 1 May. Current opening dates need confirmation.,"Dated, ambiguous or invalid source data needs confirmation"
4918,Hostel La Plazuela Verde,13:00 a 20:00,13:00 to 20:00,Contains times rather than an annual opening season; time meaning not inferred
4919,Albergue de peregrinos de Olmos de Atapuerca,"Cocinauso libreMicroondasNevera
Resguardo para bicicletas cubierto",Opening period not recorded. Source lists facilities: kitchen available for guests to use; microwave; fridge; covered bicycle storage.,Source content does not describe an opening period
4920,Albergue municipal La Parada,,,Opening period is empty
4923,Albergue de peregrinos Casa del Cubo y de los Lerma,12:00 (de Holy Week - 15 September) / 14:00 (resto del año),12:00 (Holy Week to 15 September) / 14:00 (rest of the year),Contains times rather than an annual opening season; time meaning not inferred
4926,Hostel Catedral Burgos,13:00 a 22:00,13:00 to 22:00,Contains times rather than an annual opening season; time meaning not inferred
4931,Albergue de peregrinos de Tardajos,En 2023: del 1 April - 12 November,2023 season: 1 April to 12 November. Current opening dates need confirmation.,"Dated, ambiguous or invalid source data needs confirmation"
4934,Albergue Liberanos Domine,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
4942,Albergue Fuente Sidres,"1 February - 31 November (resto del año, posible apertura los finessemana)","1 February to ""31 November"" (invalid end date in source; confirm closing date). May open at weekends during the rest of the year.","Dated, ambiguous or invalid source data needs confirmation"
4945,Albergue Santa Brígida,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
4948,Albergue de peregrinos San Esteban,,,Opening period is empty
4949,Albergue Casa Nostra,,,Opening period is empty
4950,Albergue Ultreia,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
4954,Albergue La Rinconada,"IdiomasESENFR
Cena Desayuno 4 euros
Lavadora y secadora
Taquillas individuales con llave
Camas con enchufe y luz individual
Accesible a personas con movilidad reducida
Resguardo para bicicletas
Jardín","Opening period not recorded. Source lists languages and facilities: Spanish, English and French; dinner; breakfast EUR 4; washing machine and dryer; individual lockers with keys; beds with individual power sockets and lights; accessible for people with reduced mobility; bicycle storage; garden.",Source content does not describe an opening period
4962,Albergue de peregrinos de Frómista,12:00 en verano y 15:00 el resto del año,12:00 in summer and 15:00 during the rest of the year,Contains times rather than an annual opening season; time meaning not inferred
4965,Acogida de invierno Betania," December a  February, y October a  Mayforma discontinua",Intermittent opening from December to February and October to May (overlapping periods as recorded; confirm availability).,"Dated, ambiguous or invalid source data needs confirmation"
4968,Albergue de peregrinos Casa del Peregrino,,,Opening period is empty
4972,Albergue Espíritu Santo,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
4976,Albergue de peregrinos de Calzadilla de la Cueza,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
4979,Albergue El Palomar,23:00,23:00,Contains times rather than an annual opening season; time meaning not inferred
4980,Albergue La Morena,Check-in: 13:00 a 20:00,Check-in: 13:00 to 20:00,Contains times rather than an annual opening season; time meaning not inferred
4981,Albergue Jacques de Molay,23:00,23:00,Contains times rather than an annual opening season; time meaning not inferred
4991,Albergue-hostal Sahagún,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
4992,Albergue de peregrinos San Roque,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
4993,Albergue parroquial Casa Rectoral,,,Opening period is empty
4995,Albergue Bercianos 1900,1 March - 31 November,"1 March to ""31 November"" (invalid end date in source; confirm closing date).","Dated, ambiguous or invalid source data needs confirmation"
4996,Albergue La Perala,"Bar-RestauranteMenú 14 euros
Lavadora y secadora
Taquillas individuales con llave
Accesible a personas con movilidad reducida
Resguardo para bicicletas cubierto",Opening period not recorded. Source lists facilities: bar/restaurant; set menu EUR 14; washing machine and dryer; individual lockers with keys; accessible for people with reduced mobility; covered bicycle storage.,Source content does not describe an opening period
5001,Albergue de peregrinos de Calzadilla de los Hermanillos,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
5003,Albergue de peregrinos Domenico Laffi,,,Opening period is empty
5005,Albergue de peregrinos La Vieja Escuela,1 dormitorio4 plazas y 2 dormitorios2 plazas.,Opening period not recorded. Source accommodation note: one 4-bed dormitory and two 2-bed dormitories.,Source content does not describe an opening period
5006,Albergue de peregrinos de Reliegos,13:00 en verano y 14:30 el resto del año,13:00 in summer and 14:30 during the rest of the year,Contains times rather than an annual opening season; time meaning not inferred
5016,Albergue-Hostal El Delfín Verde,No tiene,"Opening period not recorded (source says ""None""; meaning unclear).",Source content does not describe an opening period
5017,Albergue La Torre,"Cerrado temporalmente [All Year, en temporada baja reserva necesaria]","Temporarily closed (undated source note; confirm current status). Previously listed as open all year, with reservations required in low season.","Dated, ambiguous or invalid source data needs confirmation"
5019,Albergue-Residencia San Francisco de Asís,00:00,00:00,Contains times rather than an annual opening season; time meaning not inferred
5031,Albergue de peregrinos de Villadangos del Páramo,13:00,13:00,Contains times rather than an annual opening season; time meaning not inferred
5033,Albergue Santa Ana,No tiene,"Opening period not recorded (source says ""None""; meaning unclear).",Source content does not describe an opening period
5034,Albergue Vieira,22:30,22:30,Contains times rather than an annual opening season; time meaning not inferred
5036,Albergue La Huella,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
5049,Albergue parroquial de Santibáñez de Valdeiglesias,,,Opening period is empty
5052,Albergue de peregrinos Siervas de María,,,Opening period is empty
5053,Albergue San Javier,En 2023: del 24 April - 31 October,2023 season: 24 April to 31 October. Current opening dates need confirmation.,"Dated, ambiguous or invalid source data needs confirmation"
5063,Albergue San Antonio de Padua,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
5084,Albergue de peregrinos Ecce Homo,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
5087,Albergue de peregrinos de Castrillo de los Polvazares,12:00,12:00,Contains times rather than an annual opening season; time meaning not inferred
5089,Albergue-Casa Rural El Caminante,No tiene,"Opening period not recorded (source says ""None""; meaning unclear).",Source content does not describe an opening period
5092,Albergue Indian Way,10:00,10:00,Contains times rather than an annual opening season; time meaning not inferred
5102,Albergue Casa Chelo,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
5112,Albergue de peregrinos de Riego de Ambrós,21:30,21:30,Contains times rather than an annual opening season; time meaning not inferred
5114,Albergue Compostela,22:30,22:30,Contains times rather than an annual opening season; time meaning not inferred
5116,Albergue San Roque,23:00,23:00,Contains times rather than an annual opening season; time meaning not inferred
5118,Albergue parroquial San Nicolás de Flüe,Entre las 13:00 y las 15:00 (según temporada),"Between 13:00 and 15:00, depending on the season (type of time not specified).",Contains times rather than an annual opening season; time meaning not inferred
5121,Albergue Alda Pilgrim Ponferrada,14:00 a 00:00,14:00 to 00:00,Contains times rather than an annual opening season; time meaning not inferred
5131,Albergue-Hostal La Gallega,23:00,23:00,Contains times rather than an annual opening season; time meaning not inferred
5136,Albergue Ave Fénix,,,Opening period is empty
5141,Albergue La Yedra,22:30,22:30,Contains times rather than an annual opening season; time meaning not inferred
5159,Albergue-Hostal Camynos,22:00,22:00,Contains times rather than an annual opening season; time meaning not inferred
5162,Albergue Pequeño Potala,13:00 aproximadamente,13:00 approximately,Contains times rather than an annual opening season; time meaning not inferred
