pathID,sequence,distanceAlongPathMetre,elevationMetres,latitude,longitude
1,0,10,190.06,43.16367,-1.23492
1,1,10,189.9,43.16365,-1.23504
1,2,10,189.68,43.16363,-1.23516
1,3,10,189.71,43.1636,-1.23527
1,4,10,189.34,43.16357,-1.23539
1,5,10,188.94,43.16354,-1.2355
1,6,10,188.65,43.1635,-1.23561
1,7,10,188.52,43.16345,-1.23571
1,8,10,188.41,43.16339,-1.23581
1,9,10,187.84,43.16334,-1.23592
1,10,10,187.39,43.16329,-1.23602
1,11,10,186.94,43.16324,-1.23612
1,12,10,185.92,43.16319,-1.23622
1,13,10,184.58,43.16314,-1.23632
1,14,10,183.02,43.16309,-1.23643
1,15,10,181.5,43.16304,-1.23653
1,16,10,179.89,43.16299,-1.23663
1,17,10,178.38,43.16294,-1.23673
1,18,10,176.94,43.16289,-1.23683
1,19,10,175.49,43.16283,-1.23693
1,20,10,174.39,43.16276,-1.237
1,21,10,173.39,43.16268,-1.23706
1,22,10,172.54,43.1626,-1.23711
1,23,10,171.87,43.16252,-1.23715
1,24,10,171.41,43.16243,-1.23719
1,25,10,171.05,43.16235,-1.23723
1,26,10,170.8,43.16226,-1.23727
1,27,10,170.64,43.16218,-1.23731
1,28,10,170.58,43.16209,-1.23736
1,29,10,170.58,43.16201,-1.23741
1,30,10,170.66,43.16193,-1.23745
1,31,10,170.76,43.16185,-1.2375
1,32,10,171.03,43.16176,-1.23755
1,33,10,171.3,43.16168,-1.2376
1,34,10,171.6,43.1616,-1.23765
1,35,10,171.94,43.16152,-1.2377
1,36,10,172.36,43.16143,-1.23775
1,37,10,172.77,43.16135,-1.2378
1,38,10,173.21,43.16127,-1.23785
1,39,10,173.68,43.16119,-1.2379
1,40,10,174.16,43.1611,-1.23795
1,41,10,174.57,43.16102,-1.23799
1,42,10,174.98,43.16094,-1.23804
1,43,10,175.41,43.16085,-1.23809
1,44,10,175.81,43.16077,-1.23813
1,45,10,176.23,43.16069,-1.23818
1,46,10,176.66,43.16061,-1.23823
1,47,10,177.16,43.16052,-1.23828
1,48,10,177.61,43.16045,-1.23835
1,49,10,178.08,43.16038,-1.23842
1,50,10,178.5,43.16029,-1.23839
1,51,10,179.01,43.16021,-1.23844
1,52,10,179.54,43.16013,-1.23849
1,53,10,180.11,43.16005,-1.23855
1,54,10,180.68,43.15997,-1.2386
1,55,10,181.29,43.15989,-1.23866
1,56,10,181.89,43.15981,-1.23871
1,57,10,182.89,43.15973,-1.23877
1,58,10,183.86,43.15965,-1.23882
1,59,10,184.85,43.15956,-1.23886
1,60,10,185.7,43.15947,-1.23888
1,61,10,186.38,43.15938,-1.23888
1,62,10,186.99,43.15929,-1.23887
1,63,10,187.5,43.1592,-1.23885
1,64,10,188.02,43.15912,-1.23884
1,65,10,188.99,43.15904,-1.23887
1,66,10,190.16,43.15897,-1.23893
1,67,10,191.54,43.15889,-1.239
1,68,10,192.76,43.15882,-1.23906
1,69,10,194.18,43.15874,-1.23913
1,70,10,195.53,43.15866,-1.23919
1,71,10,196.91,43.15859,-1.23926
1,72,10,198.3,43.15851,-1.23932
1,73,10,199.71,43.15843,-1.23938
1,74,10,201.41,43.15835,-1.23942
1,75,10,203.09,43.15826,-1.23944
1,76,10,204.73,43.15817,-1.23946
1,77,10,206.22,43.15808,-1.23947
1,78,10,207.79,43.15799,-1.23949
1,79,10,209.32,43.1579,-1.23951
1,80,10,210.74,43.15781,-1.23952
1,81,10,212.15,43.15772,-1.23954
1,82,10,213.15,43.15763,-1.23956
1,83,10,214.17,43.15755,-1.2396
1,84,10,215.29,43.15747,-1.23966
1,85,10,216.33,43.1574,-1.23973
1,86,10,217.34,43.15731,-1.23977
1,87,10,218.19,43.15723,-1.2398
1,88,10,219.09,43.15714,-1.23983
1,89,10,220.02,43.15705,-1.23987
1,90,10,220.34,43.15697,-1.2399
